taxa_raw,taxa_trimmed,taxa_replacement,taxa_removed,taxa_clean,rank,authority,authority_id,score,difference
Eragrostis spectabilis,NA,NA,NA,Eragrostis spectabilis,Species,ITIS,40717,0.988,NA
Amorpha canescens,NA,NA,NA,Amorpha canescens,Species,ITIS,25371,0.988,NA
-9999,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
Yellow Perch,NA,NA,NA,Yellow Perch,Common,ITIS,168469,NA,NA
Rainbow smelt,NA,NA,NA,Rainbow smelt,Common,ITIS,162041,NA,NA
Large mouth bass,NA,NA,NA,NA,NA,NA,NA,NA,NA
Petalostemum S.p.,Petalostemum,NA,NA,NA,NA,NA,NA,NA,NA
Poa Cf.,Poa,NA,NA,Poa,Genus,ITIS,41074,0.75,NA
Schizachyrium spp.,Schizachyrium,NA,NA,Schizachyrium,Genus,ITIS,42069,0.75,NA
Petalostemum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Poa cf...,Poa,NA,NA,Poa,Genus,ITIS,41074,0.75,NA
Schizachyrium sPp,Schizachyrium,NA,NA,Schizachyrium,Genus,ITIS,42069,0.75,NA
_Koeleria_cristata,Koeleria cristata,NA,NA,Koeleria cristata,Species,ITIS,515476,0.988,NA
Lespedeza_capitata,Lespedeza capitata,NA,NA,Lespedeza capitata,Species,ITIS,25897,0.988,NA
_Liatris_aspera_,Liatris aspera,NA,NA,Liatris aspera,Species,ITIS,37909,0.988,NA
NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA
Oncorhynchus tshawytscha,NA,NA,NA,Oncorhynchus tshawytscha,Species,ITIS,161980,0.988,NA
Oncorhynchus gorbuscha,NA,NA,NA,Oncorhynchus gorbuscha,Species,ITIS,161975,0.988,NA
Oncorhynchus kisutch,NA,NA,NA,Oncorhynchus kisutch,Species,ITIS,161977,0.988,NA
